Data_Size,Model,Accuracy,Precision,Recall,F1
40%,Naive Bayes,0.8205741626794258,0.8702614351844135,0.8205741626794258,0.8195526616367536
40%,Decision Tree,0.8899521531100478,0.8952193126813011,0.8899521531100478,0.8903567804311613
40%,XGBoost,0.9210526315789473,0.9243965102113453,0.9210526315789473,0.9207792879164695
40%,Random Forest,0.930622009569378,0.9357863195781986,0.930622009569378,0.9308561562229403
40%,KNN,0.930622009569378,0.9382571194780015,0.930622009569378,0.9314140504650991
40%,Logistic Regression,0.9617224880382775,0.963243973963121,0.9617224880382775,0.9617307031065941
40%,SVM,0.9688995215311005,0.9692654548509072,0.9688995215311005,0.9688484443266681
40%,Naive Bayes,0.8068965517241379,0.8093575007368111,0.8068965517241379,0.8049247214276878
40%,Decision Tree,0.8758620689655172,0.8801973271737337,0.8758620689655172,0.8747939385116732
40%,XGBoost,0.9149425287356322,0.9148701287591767,0.9149425287356322,0.9144442258290029
40%,Random Forest,0.9080459770114943,0.908418896577772,0.9080459770114943,0.9080771578243689
40%,KNN,0.9264367816091954,0.928434214370482,0.9264367816091954,0.9262536958960325
40%,Logistic Regression,0.9770114942528736,0.9775517173083097,0.9770114942528736,0.976941406957322
40%,SVM,0.967816091954023,0.9680101975009754,0.967816091954023,0.9678266385771457
40%,Naive Bayes,0.8421052631578947,0.8779972231130722,0.8421052631578947,0.8309923086958108
40%,Decision Tree,0.9565217391304348,0.9576071736289562,0.9565217391304348,0.9567840472881148
40%,XGBoost,0.977116704805492,0.9788601391640376,0.977116704805492,0.9772608250424916
40%,Random Forest,0.9794050343249427,0.9804132852989793,0.9794050343249427,0.9792847985463988
40%,KNN,0.977116704805492,0.9784702125140422,0.977116704805492,0.9770813081165953
40%,Logistic Regression,0.9931350114416476,0.9931607230092818,0.9931350114416476,0.9931347054436508
40%,SVM,0.9954233409610984,0.9954490525287327,0.9954233409610984,0.9954232670844392
40%,Naive Bayes,0.7120535714285714,0.7446459430546412,0.7120535714285714,0.7094032372882929
40%,Decision Tree,0.8392857142857143,0.8407232943284734,0.8392857142857143,0.8384406823136619
40%,XGBoost,0.8973214285714286,0.8987028374937928,0.8973214285714286,0.896581842822684
40%,Random Forest,0.8950892857142857,0.8968572933308219,0.8950892857142857,0.8954007828419984
40%,KNN,0.9084821428571429,0.9150948884696275,0.9084821428571429,0.9091273482241906
40%,Logistic Regression,0.9486607142857143,0.9491833111099357,0.9486607142857143,0.9486716266893963
40%,SVM,0.9486607142857143,0.9495949505233803,0.9486607142857143,0.9483551323752446
40%,Naive Bayes,0.6715328467153284,0.7356315246833223,0.6715328467153284,0.6662511015082424
40%,Decision Tree,0.8467153284671532,0.858075869349153,0.8467153284671532,0.8452363525610691
40%,XGBoost,0.9391727493917275,0.9441669753635146,0.9391727493917275,0.938749363066944
40%,Random Forest,0.9367396593673966,0.9402645764314433,0.9367396593673966,0.9362243028220685
40%,KNN,0.9343065693430657,0.9359394588250394,0.9343065693430657,0.934339710225652
40%,Logistic Regression,0.9854014598540146,0.9855245979467094,0.9854014598540146,0.98541890736878
40%,SVM,0.975669099756691,0.976675268500086,0.975669099756691,0.9753723252330793
60%,Naive Bayes,0.8261562998405104,0.8706401764479953,0.8261562998405104,0.8256753285973755
60%,Decision Tree,0.9011164274322169,0.9017068188813342,0.9011164274322169,0.9009340059763706
60%,XGBoost,0.9409888357256778,0.9436350999369488,0.9409888357256778,0.9410536993232442
60%,Random Forest,0.9314194577352473,0.9351835084943618,0.9314194577352473,0.9312733004877388
60%,KNN,0.9473684210526315,0.9506158030735754,0.9473684210526315,0.9476866618576626
60%,Logistic Regression,0.960127591706539,0.9610468017670234,0.960127591706539,0.9601608866862701
60%,SVM,0.9681020733652312,0.9688522107407558,0.9681020733652312,0.9680656705268808
60%,Naive Bayes,0.8119266055045872,0.8131784283327671,0.8119266055045872,0.8073344152920111
60%,Decision Tree,0.8929663608562691,0.8962880742907677,0.8929663608562691,0.8918060396501776
60%,XGBoost,0.9143730886850153,0.9146198356507612,0.9143730886850153,0.914115383677043
60%,Random Forest,0.9128440366972477,0.9130419678663348,0.9128440366972477,0.9128137677114745
60%,KNN,0.944954128440367,0.946839103871088,0.944954128440367,0.9451625909747315
60%,Logistic Regression,0.9785932721712538,0.9791854945456205,0.9785932721712538,0.9785736919529866
60%,SVM,0.9663608562691132,0.96679963554877,0.9663608562691132,0.9664517390374847
60%,Naive Bayes,0.8492307692307692,0.8887444109992618,0.8492307692307692,0.8375725584107223
60%,Decision Tree,0.936923076923077,0.9390354328748142,0.936923076923077,0.936591186316656
60%,XGBoost,0.9723076923076923,0.9746132299073474,0.9723076923076923,0.9725386604326329
60%,Random Forest,0.9769230769230769,0.9785931301017237,0.9769230769230769,0.976790558242345
60%,KNN,0.9738461538461538,0.9760890672631537,0.9738461538461538,0.9738554039542002
60%,Logistic Regression,0.9969230769230769,0.9969349112426036,0.9969230769230769,0.9969229326314346
60%,SVM,0.9969230769230769,0.9969345579793341,0.9969230769230769,0.9969230983432562
60%,Naive Bayes,0.7131901840490797,0.7527730483382672,0.7131901840490797,0.7125340933123829
60%,Decision Tree,0.8496932515337423,0.8594956746275709,0.8496932515337423,0.8485699149555475
60%,XGBoost,0.8895705521472392,0.889966678904806,0.8895705521472392,0.8892464408435614
60%,Random Forest,0.8987730061349694,0.9039908191090367,0.8987730061349694,0.8992208047196544
60%,KNN,0.9095092024539877,0.9150262472527071,0.9095092024539877,0.9100498301395117
60%,Logistic Regression,0.9555214723926381,0.9561509888288992,0.9555214723926381,0.9554868209520775
60%,SVM,0.9570552147239264,0.9587980720148556,0.9570552147239264,0.956934179027274
60%,Naive Bayes,0.7018121911037891,0.7547139617591463,0.7018121911037891,0.6989597724200022
60%,Decision Tree,0.8550247116968699,0.8651079256731923,0.8550247116968699,0.854588516580354
60%,XGBoost,0.9275123558484349,0.9322706394202958,0.9275123558484349,0.926735108126946
60%,Random Forest,0.943986820428336,0.9452197710841146,0.943986820428336,0.9435217702196808
60%,KNN,0.9654036243822076,0.9664890008721775,0.9654036243822076,0.9655062887291507
60%,Logistic Regression,0.9802306425041186,0.9806659081860932,0.9802306425041186,0.9802186283050149
60%,SVM,0.9719934102141681,0.9730938249798176,0.9719934102141681,0.9715332742651992
80%,Naive Bayes,0.8046511627906977,0.855769780086581,0.8046511627906977,0.8056932844079705
80%,Decision Tree,0.9151162790697674,0.9172635960358863,0.9151162790697674,0.9149163507659047
80%,XGBoost,0.9255813953488372,0.9258984963427307,0.9255813953488372,0.9254687443630732
80%,Random Forest,0.936046511627907,0.9384069294355922,0.936046511627907,0.9359414858720733
80%,KNN,0.9441860465116279,0.9459343417821108,0.9441860465116279,0.9443760225963769
80%,Logistic Regression,0.9616279069767442,0.9617873992644237,0.9616279069767442,0.9615693153160149
80%,SVM,0.9674418604651163,0.9679323194954436,0.9674418604651163,0.9673579267997665
80%,Naive Bayes,0.8006952491309386,0.8022051524336892,0.8006952491309386,0.7946424174450173
80%,Decision Tree,0.9015063731170336,0.9038257167383233,0.9015063731170336,0.9008864676064859
80%,XGBoost,0.9200463499420626,0.9197957750303168,0.9200463499420626,0.9198237912050631
80%,Random Forest,0.9200463499420626,0.9203665325400686,0.9200463499420626,0.919878163230482
80%,KNN,0.944380069524913,0.9452525851400065,0.944380069524913,0.9443573477593539
80%,Logistic Regression,0.9721900347624566,0.9724869738065555,0.9721900347624566,0.9720975512597982
80%,SVM,0.9698725376593279,0.9701165230312322,0.9698725376593279,0.9699309757533432
80%,Naive Bayes,0.8621908127208481,0.8974721987596485,0.8621908127208481,0.8528769427889599
80%,Decision Tree,0.9599528857479388,0.9604824267125276,0.9599528857479388,0.9598865115706624
80%,XGBoost,0.9811542991755006,0.9818962018711083,0.9811542991755006,0.9812059780393022
80%,Random Forest,0.9823321554770318,0.9833653922377178,0.9823321554770318,0.9823064862409637
80%,KNN,0.9764428739693758,0.9781945928997818,0.9764428739693758,0.9764461807049676
80%,Logistic Regression,0.9952885747938751,0.9952891266676442,0.9952885747938751,0.9952854598932444
80%,SVM,0.9964664310954063,0.9964803271758574,0.9964664310954063,0.9964633717751088
80%,Naive Bayes,0.6662804171494786,0.7273446061597274,0.6662804171494786,0.6692440855038067
80%,Decision Tree,0.8366164542294322,0.8418210032416574,0.8366164542294322,0.8381209409117821
80%,XGBoost,0.895712630359212,0.8963646593632929,0.895712630359212,0.8959420218462806
80%,Random Forest,0.8852838933951332,0.8918944674737956,0.8852838933951332,0.8862176048404298
80%,KNN,0.9049826187717266,0.9114262577430656,0.9049826187717266,0.9055183978133352
80%,Logistic Regression,0.9455388180764774,0.946261685845307,0.9455388180764774,0.9455048060684981
80%,SVM,0.947856315179606,0.9492359800327619,0.947856315179606,0.947576502706803
80%,Naive Bayes,0.715311004784689,0.7717043566835486,0.715311004784689,0.7151924390967002
80%,Decision Tree,0.8648325358851675,0.8720511087775676,0.8648325358851675,0.8642676402863403
80%,XGBoost,0.937799043062201,0.9410832830931042,0.937799043062201,0.937411138355281
80%,Random Forest,0.937799043062201,0.939688367995009,0.937799043062201,0.9374378312766185
80%,KNN,0.9629186602870813,0.9634816218141155,0.9629186602870813,0.9629687211600841
80%,Logistic Regression,0.9784688995215312,0.978984231990596,0.9784688995215312,0.9785105119732326
80%,SVM,0.9844497607655502,0.9847021593913936,0.9844497607655502,0.984421883735385
100%,Naive Bayes,0.8064806480648065,0.8582378655624657,0.8064806480648065,0.8065540398809627
100%,Decision Tree,0.873087308730873,0.8736681925612406,0.873087308730873,0.8727607008457504
100%,XGBoost,0.9261926192619262,0.9264780425422781,0.9261926192619262,0.9261252903411527
100%,Random Forest,0.9441944194419442,0.945989687431933,0.9441944194419442,0.9442048924818622
100%,KNN,0.9513951395139514,0.9520106535510356,0.9513951395139514,0.9513782930900785
100%,Logistic Regression,0.9594959495949595,0.9602648332964522,0.9594959495949595,0.9596334548515361
100%,SVM,0.9684968496849685,0.9687874881056703,0.9684968496849685,0.9684170699142348
100%,Naive Bayes,0.8001885014137606,0.805382137336487,0.8001885014137606,0.7959998132156328
100%,Decision Tree,0.9000942507068803,0.9026750973835288,0.9000942507068803,0.8993346170225001
100%,XGBoost,0.9227144203581527,0.9225948850616102,0.9227144203581527,0.9224749871691257
100%,Random Forest,0.9161168708765316,0.916062291207222,0.9161168708765316,0.9158466310580635
100%,KNN,0.942507068803016,0.9436516678426878,0.942507068803016,0.9425386733160976
100%,Logistic Regression,0.9707822808671065,0.9711321847552089,0.9707822808671065,0.9706857794820972
100%,SVM,0.9773798303487277,0.9782297017825833,0.9773798303487277,0.9773976428936235
100%,Naive Bayes,0.8537956888472352,0.8869052792896484,0.8537956888472352,0.8431265656882712
100%,Decision Tree,0.9353327085285849,0.9355071605876537,0.9353327085285849,0.934862761645774
100%,XGBoost,0.9803186504217432,0.9814326569772102,0.9803186504217432,0.9804199165564247
100%,Random Forest,0.9878163074039362,0.9882870202893252,0.9878163074039362,0.9878076781967936
100%,KNN,0.9765698219306467,0.9784263340076426,0.9765698219306467,0.976561100496387
100%,Logistic Regression,0.9953139643861293,0.9953217261917661,0.9953139643861293,0.9953112584591942
100%,SVM,0.9971883786316776,0.9971972621115143,0.9971883786316776,0.9971864578426907
100%,Naive Bayes,0.6938967136150235,0.7549566968507556,0.6938967136150235,0.6974343873593538
100%,Decision Tree,0.8704225352112676,0.8749456877414513,0.8704225352112676,0.8710909938211979
100%,XGBoost,0.9107981220657277,0.9121871672935701,0.9107981220657277,0.9109983062691465
100%,Random Forest,0.8892018779342723,0.8944300620300634,0.8892018779342723,0.8902141470372614
100%,KNN,0.9032863849765258,0.9078991442052261,0.9032863849765258,0.9036890697187573
100%,Logistic Regression,0.9464788732394366,0.9474973181789945,0.9464788732394366,0.9465181133325711
100%,SVM,0.952112676056338,0.953167908345261,0.952112676056338,0.9519398637469176
100%,Naive Bayes,0.7228571428571429,0.7782734842769287,0.7228571428571429,0.7234356993150381
100%,Decision Tree,0.8685714285714285,0.8700023639598796,0.8685714285714285,0.868413313916722
100%,XGBoost,0.9428571428571428,0.9466971164245661,0.9428571428571428,0.9427100981850541
100%,Random Forest,0.9485714285714286,0.9493271082316422,0.9485714285714286,0.9483397318761033
100%,KNN,0.9619047619047619,0.9627053440174359,0.9619047619047619,0.9619743439976012
100%,Logistic Regression,0.9809523809523809,0.9816070407750738,0.9809523809523809,0.9810087456977061
100%,SVM,0.9838095238095238,0.9841622961697941,0.9838095238095238,0.9837825754919424
