Split,Model,Accuracy,Precision,Recall,F1
50-50,Naive Bayes,0.28664370455415233,0.3761951975116796,0.28664370455415233,0.28745030917789116
50-50,Decision Tree,0.803291236127057,0.8117694456196329,0.803291236127057,0.8013709099504449
50-50,XGBoost,0.9119785686949866,0.918484963641935,0.9119785686949866,0.9122972130077679
50-50,Random Forest,0.9728281668580177,0.9744151694138732,0.9728281668580177,0.972646058300534
50-50,KNN,0.8832759280520475,0.8990407403844053,0.8832759280520475,0.8814520474843768
50-50,Logistic Regression,0.8228090317642557,0.8428507334765978,0.8228090317642557,0.8203838226919773
50-50,SVM,0.9261385380788366,0.9307730334909262,0.9261385380788366,0.9252889315616132
50-50,Naive Bayes,0.2743972445464983,0.38771016309958356,0.2743972445464983,0.2800274194898513
50-50,Decision Tree,0.7791810179869881,0.7904821702692109,0.7791810179869881,0.7779368928106567
50-50,XGBoost,0.9284347493302717,0.9318726434559006,0.9284347493302717,0.9281911248097895
50-50,Random Forest,0.9743589743589743,0.9761458997074689,0.9743589743589743,0.974127927958235
50-50,KNN,0.8970531955606582,0.9110895669748327,0.8970531955606582,0.8927102778543262
50-50,Logistic Regression,0.8748564867967853,0.8854455138923014,0.8748564867967853,0.8742360957399435
50-50,SVM,0.9399158055874474,0.9446442276084431,0.9399158055874474,0.939004255038021
50-50,Naive Bayes,0.2965939533103712,0.4076157355345186,0.2965939533103712,0.29761989297470537
50-50,Decision Tree,0.7941063911213165,0.8067031273344579,0.7941063911213165,0.7933602270155486
50-50,XGBoost,0.9203980099502488,0.9266782664163743,0.9203980099502488,0.9196588347777874
50-50,Random Forest,0.9720627631075393,0.9747504721282814,0.9720627631075393,0.9718364708028511
50-50,KNN,0.8882510524301569,0.9042218894788729,0.8882510524301569,0.886027365448014
50-50,Logistic Regression,0.8664370455415231,0.879554761271349,0.8664370455415231,0.8651602384278092
50-50,SVM,0.9383849980864907,0.945527197890495,0.9383849980864907,0.9376238571442708
60-40,Naive Bayes,0.28742228598756575,0.395022626592699,0.28742228598756575,0.2879935455603024
60-40,Decision Tree,0.8192252510760402,0.8300048286935948,0.8192252510760402,0.8178911673787622
60-40,XGBoost,0.9344811095169775,0.9395164320076874,0.9344811095169775,0.9344234013781639
60-40,Random Forest,0.9794356767097083,0.9802622305033747,0.9794356767097083,0.9792505352469184
60-40,KNN,0.9426111908177905,0.9484121710639789,0.9426111908177905,0.9404746816745102
60-40,Logistic Regression,0.8766140602582496,0.8871019541634014,0.8766140602582496,0.8747857272273797
60-40,SVM,0.9502630320420852,0.9536251828228974,0.9502630320420852,0.9489771246371281
60-40,Naive Bayes,0.2821616451458632,0.3839075805148667,0.2821616451458632,0.28041141587367047
60-40,Decision Tree,0.8230511716881874,0.8334379815860041,0.8230511716881874,0.8235887222809226
60-40,XGBoost,0.9387852702056433,0.9424129154704403,0.9387852702056433,0.938683461462294
60-40,Random Forest,0.9727403156384505,0.9751350384939169,0.9727403156384505,0.9726206550050068
60-40,KNN,0.9378287900526064,0.9474436414351197,0.9378287900526064,0.9367739857440678
60-40,Logistic Regression,0.8938307030129125,0.9040437147547443,0.8938307030129125,0.8929887281071668
60-40,SVM,0.9440459110473458,0.9492382166505821,0.9440459110473458,0.9432395281143167
60-40,Naive Bayes,0.29937828790052606,0.4044344705565713,0.29937828790052606,0.29371279535286127
60-40,Decision Tree,0.8297465327594452,0.8401407853540074,0.8297465327594452,0.8290398901597253
60-40,XGBoost,0.9359158297465328,0.9414130098874287,0.9359158297465328,0.9357674323840379
60-40,Random Forest,0.9823051171688187,0.9835232630103504,0.9823051171688187,0.9823285945735414
60-40,KNN,0.9521759923481588,0.9559695382622622,0.9521759923481588,0.9514235351564804
60-40,Logistic Regression,0.8947871831659493,0.910559272648417,0.8947871831659493,0.8944646977832397
60-40,SVM,0.9516977522716403,0.9571013826354813,0.9516977522716403,0.9510045358685607
70-30,Naive Bayes,0.29081632653061223,0.37503557974777135,0.29081632653061223,0.2871130802547156
70-30,Decision Tree,0.8227040816326531,0.8368032985015148,0.8227040816326531,0.8224638065914393
70-30,XGBoost,0.9559948979591837,0.959094584244624,0.9559948979591837,0.9559768586497024
70-30,Random Forest,0.9808673469387755,0.9823792809872867,0.9808673469387755,0.9806793408618831
70-30,KNN,0.9668367346938775,0.9698321711877218,0.9668367346938775,0.9661208860100317
70-30,Logistic Regression,0.9017857142857143,0.9135357315877304,0.9017857142857143,0.9005962001521154
70-30,SVM,0.9553571428571429,0.9611027119232144,0.9553571428571429,0.9545472120714793
70-30,Naive Bayes,0.2735969387755102,0.36047081173107093,0.2735969387755102,0.2739172084541199
70-30,Decision Tree,0.8475765306122449,0.8572311509046254,0.8475765306122449,0.847526107220292
70-30,XGBoost,0.9489795918367347,0.9535611865831386,0.9489795918367347,0.9490211546190844
70-30,Random Forest,0.9802295918367347,0.982181892398526,0.9802295918367347,0.9802463603816992
70-30,KNN,0.954719387755102,0.9627098935568147,0.954719387755102,0.9549749135412208
70-30,Logistic Regression,0.9132653061224489,0.9219520150717628,0.9132653061224489,0.9128508161040552
70-30,SVM,0.9502551020408163,0.9560255097211713,0.9502551020408163,0.9499311598098755
70-30,Naive Bayes,0.3080357142857143,0.4256441064750713,0.3080357142857143,0.3040074801899259
70-30,Decision Tree,0.8463010204081632,0.8545377027844027,0.8463010204081632,0.8455326662517059
70-30,XGBoost,0.9368622448979592,0.942576876785448,0.9368622448979592,0.9362669628670517
70-30,Random Forest,0.9815051020408163,0.9828154329160913,0.9815051020408163,0.9814705725236551
70-30,KNN,0.9566326530612245,0.9614473674895935,0.9566326530612245,0.956128211076872
70-30,Logistic Regression,0.9005102040816326,0.9110667620546535,0.9005102040816326,0.8979907547515766
70-30,SVM,0.9585459183673469,0.9640207910366551,0.9585459183673469,0.9578362651641376
80-20,Naive Bayes,0.30975143403441685,0.394260048522014,0.30975143403441685,0.3026784812251854
80-20,Decision Tree,0.8594646271510517,0.873182724310269,0.8594646271510517,0.8581483271327484
80-20,XGBoost,0.9627151051625239,0.9671836322019979,0.9627151051625239,0.9624450781078907
80-20,Random Forest,0.98565965583174,0.9870485429054413,0.98565965583174,0.985703529635213
80-20,KNN,0.9722753346080306,0.9759524568116122,0.9722753346080306,0.9718723383108048
80-20,Logistic Regression,0.9139579349904398,0.9258998227400262,0.9139579349904398,0.9138044036498262
80-20,SVM,0.9608030592734226,0.9650992450825148,0.9608030592734226,0.9599897633322646
80-20,Naive Bayes,0.25334608030592737,0.3341495361408726,0.25334608030592737,0.25360868004639503
80-20,Decision Tree,0.847036328871893,0.8579716878305338,0.847036328871893,0.8460933691548367
80-20,XGBoost,0.9512428298279159,0.9556952897764348,0.9512428298279159,0.9513355840559766
80-20,Random Forest,0.9818355640535373,0.9837584043040922,0.9818355640535373,0.9817905937946233
80-20,KNN,0.9751434034416826,0.9770916348551036,0.9751434034416826,0.974821503117973
80-20,Logistic Regression,0.9216061185468452,0.930308525064458,0.9216061185468452,0.9213437812802974
80-20,SVM,0.9598470363288719,0.9662003043695205,0.9598470363288719,0.9593970386050311
80-20,Naive Bayes,0.3011472275334608,0.3789587937522245,0.3011472275334608,0.29466507800762276
80-20,Decision Tree,0.8527724665391969,0.864631208439184,0.8527724665391969,0.852807470248231
80-20,XGBoost,0.9493307839388145,0.9550879874852151,0.9493307839388145,0.948821025703692
80-20,Random Forest,0.9818355640535373,0.9842770783497362,0.9818355640535373,0.9817624061607224
80-20,KNN,0.9741873804971319,0.9777121811607824,0.9741873804971319,0.9738809191308939
80-20,Logistic Regression,0.9216061185468452,0.929848019346529,0.9216061185468452,0.9207085005038211
80-20,SVM,0.9684512428298279,0.9719051793256045,0.9684512428298279,0.9682472286361362
